eventName,place,start_date,start_time,end_date,end_time,dayOfWeek,address,typeOfEvent,site
Centerpoint Trivia Night,Centerpoint Brewing,10/21/2021,19:00,8/11/2022,21:00,Thursday,"1125 E.Brookside Ave., Indianapolis, IN 46202",event,visitIndy
Working the Musical,The Studio Theater at teh Center for the performing Arts,4/29/2022,19:30,5/20/2022,21:30,Friday,"4 Center Green Carmel, Indianapolis, IN 46032",theater,visitIndy
Music Moves,Butler University,5/20/2022,,5/22/2022,,,"4600 Sunset Ave., Indianapolis, IN 46208",Musical,visitIndy
AJR - The OK Orchestra Tour,Ruoff Music Center,5/28/2022,7:30,5/28/2022,,Saturday,"12880 E. 146th St., Noblesville, IN 46060",orchestra,visitIndy
Indianapolis 500 Mile Race,Indianapolis Motor Speedway,5/29/2022,,5/29/2022,,Sunday,"4790 W. 16th St., Indianapolis, IN 46222",race,visitIndy
Antony and Cleopatra,The Tarkington at the Center for the Performing Arts,6/9/2022,19:00,6/11/2022,,,"3 Center Green, Carmel, IN 46032",theater,visitIndy
Talbot Street Art Fair,Talbot Street/Herron-Morton Place Historic District,6/18/2022,,6/19/2022,,,"16th and Talbott Sts., Indianapolis, IN 46202",event,visitIndy
Tedeschi Trucks Band - Wheels of Soul,The TCU Amphitheater at White River State Park,6/28/2022,18:30,6/28/2022,,Tuesday,"801 W. Washington St., Indianapolis, IN 46204",concert,visitIndy
Barenaked Ladies - Last Summer on Earth Tour,The TCU Amphitheater at White River State Park,7/1/2022,19:00,7/1/2022,,Tuesday,"801 W. Washington St., Indianapolis, IN 46204",concert,visitIndy
"Santana and Earth, Wind & Fire - Miraculous Supernatural Tour",Ruoff Music Center,7/8/2022,19:00,7/8/2022,,Friday,"12880 E. 146th St., Noblesville, IN 46060",concert,visitIndy
Backstreet Boys - DNA World Tour,Ruoff Music Center,7/10/2022,19:30,7/10/2022,,Sunday,"12880 E. 146th St., Noblesville, IN 46060",concert,visitIndy
5 Seconds of Summer - No Shame Tour,The TCU Amphitheater at White River State Park,7/15/2022,,7/15/2022,,Thursday,"801 W. Washington St., Indianapolis, IN 46204",concert,visitIndy
Goo Goo Dolls - The Miracle Pill Summer Tour with Lifehouse and Forest Blakk,The TCU Amphitheater at White River State Park,8/5/2022,,8/5/2022,,Friday,"801 W. Washington St., Indianapolis, IN 46204",concert,visitIndy
Matchbox Twenty with special guest The Wallflowers,Ruoff Music Center,8/6/2022,,8/6/2022,,Sunday,"12880 E. 146th St., Noblesville, IN 46060",concert,visitIndy
Tembo Camp - A New Elephant Experience,Indianapolis Zoo located in White River State Park,10/17/2021,0:00,12/31/2023,23:59,,"1200 W. Washington St., Indianapolis, IN 46222",event,visitIndy
The Basement in 30 Tour,Indianapolis Motor Speedway Museum,10/17/2021,10:00,12/31/2022,15:00,,"4750 W. 16th St., Indianapolis, IN 46222",museum,visitIndy
Alligators & Crocodiles - The Fight to Survive,Indianapolis Zoo located in White River State Park,10/17/2021,0:00,12/31/2023,23:59,,"1200 W. Washington St., Indianapolis, IN 46222",event,visitIndy
THE LUME Indianapolis,Newfields - A Place for Nature & the Arts,10/17/2021,,5/31/2022,,,"4000 N Michigan Rd, Indianapolis, IN 46208",museum,visitIndy
Mind Tripping Show - A Comedy with a Psychological Twist,Hilton Indianapolis Hotel & Suites,10/22/2021,20:00,12/31/2022,,Friday/Saturday,"120 W. Market St., Indianapolis, IN 46204",event,visitIndy
The Paper Dreams of Harry Chin,Indiana Repertory Theatre,4/20/2022,,5/15/2022,,,"140 W. Washington St., Indianapolis, IN 46204",theater,visitIndy
"No AIDS, No Maids - Or Stories I Can’t F*ckin’ Hear No More",Phoenix Theatre Cultural Centre,4/28/2022,,5/22/2022,,,"705 N. Illinois St., Indianapolis, IN 46204-1115",theater,visitIndy
Steel Magnolias,Indiana Repertory Theatre,5/10/2022,,6/5/2022,,,"140 W. Washington St., Indianapolis, IN 46204",theater,visitIndy
Indiana War Memorial and Museum,Indiana War Memorial and Museum,5/15/2022,9:00,8/13/2021,17:00,,"55 E Michigan St, Indianapolis, IN 46204",museum,downtownIndy
Barbie™ You Can Be Anything™: The Experience,The Children's Museum of Indianapolis,5/15/2022,10:00,8/13/2021,17:00,,"3000 N Meridian St, Indianapolis, IN 46208",event,downtownIndy
Circle City Tours,Indianapolis,5/15/2022,10:00,8/13/2021,12:00,,"200 E Washington St, Indianapolis, Indiana 46208",event,downtownIndy
ComedySportz,ComedySportz Indianapolis,5/15/2022,19:30,8/13/2021,21:00,Friday/Saturday,"721 Massachusetts Ave, Indianapolis, IN 46204",event,downtownIndy